Crop Name,Total Acres
Corn,24044493.6
Soybeans,18860570.57
Deciduous Forest,7935511.15
Grass/Pasture,7378873.2
Developed/Open Space,2690742.75
Developed/Low Intensity,2240284.41
Fallow/Idle Cropland,1936516.54
Mixed Forest,1460112.8
Woody Wetlands,1169156.11
Open Water,1027956.52
Developed/Med Intensity,800669.57
Herbaceous Wetlands,556376.16
Alfalfa,550863.28
Dbl Crop WinWht/Soybeans,353596.83
Developed/High Intensity,305262.97
Other Hay/Non Alfalfa,258192.94
Barren,124685.13
Winter Wheat,114526.52
Oats,113093.63
Evergreen Forest,57997.71
